Time,data science: (Worldwide)
2023-03-24T13:40:00+05:00,91
2023-03-24T13:48:00+05:00,82
2023-03-24T13:56:00+05:00,72
2023-03-24T14:04:00+05:00,91
2023-03-24T14:12:00+05:00,99
2023-03-24T14:20:00+05:00,85
2023-03-24T14:28:00+05:00,84
2023-03-24T14:36:00+05:00,83
2023-03-24T14:44:00+05:00,82
2023-03-24T14:52:00+05:00,87
2023-03-24T15:00:00+05:00,62
2023-03-24T15:08:00+05:00,65
2023-03-24T15:16:00+05:00,66
2023-03-24T15:24:00+05:00,72
2023-03-24T15:32:00+05:00,71
2023-03-24T15:40:00+05:00,70
2023-03-24T15:48:00+05:00,63
2023-03-24T15:56:00+05:00,69
2023-03-24T16:04:00+05:00,64
2023-03-24T16:12:00+05:00,62
2023-03-24T16:20:00+05:00,62
2023-03-24T16:28:00+05:00,66
2023-03-24T16:36:00+05:00,60
2023-03-24T16:44:00+05:00,65
2023-03-24T16:52:00+05:00,57
2023-03-24T17:00:00+05:00,59
2023-03-24T17:08:00+05:00,60
2023-03-24T17:16:00+05:00,60
2023-03-24T17:24:00+05:00,64
2023-03-24T17:32:00+05:00,62
2023-03-24T17:40:00+05:00,62
2023-03-24T17:48:00+05:00,63
2023-03-24T17:56:00+05:00,60
2023-03-24T18:04:00+05:00,61
2023-03-24T18:12:00+05:00,64
2023-03-24T18:20:00+05:00,60
2023-03-24T18:28:00+05:00,62
2023-03-24T18:36:00+05:00,66
2023-03-24T18:44:00+05:00,68
2023-03-24T18:52:00+05:00,65
2023-03-24T19:00:00+05:00,68
2023-03-24T19:08:00+05:00,63
2023-03-24T19:16:00+05:00,75
2023-03-24T19:24:00+05:00,69
2023-03-24T19:32:00+05:00,70
2023-03-24T19:40:00+05:00,64
2023-03-24T19:48:00+05:00,67
2023-03-24T19:56:00+05:00,65
2023-03-24T20:04:00+05:00,74
2023-03-24T20:12:00+05:00,70
2023-03-24T20:20:00+05:00,67
2023-03-24T20:28:00+05:00,70
2023-03-24T20:36:00+05:00,69
2023-03-24T20:44:00+05:00,68
2023-03-24T20:52:00+05:00,63
2023-03-24T21:00:00+05:00,62
2023-03-24T21:08:00+05:00,63
2023-03-24T21:16:00+05:00,74
2023-03-24T21:24:00+05:00,65
2023-03-24T21:32:00+05:00,68
2023-03-24T21:40:00+05:00,70
2023-03-24T21:48:00+05:00,65
2023-03-24T21:56:00+05:00,71
2023-03-24T22:04:00+05:00,70
2023-03-24T22:12:00+05:00,67
2023-03-24T22:20:00+05:00,72
2023-03-24T22:28:00+05:00,67
2023-03-24T22:36:00+05:00,62
2023-03-24T22:44:00+05:00,71
2023-03-24T22:52:00+05:00,66
2023-03-24T23:00:00+05:00,61
2023-03-24T23:08:00+05:00,61
2023-03-24T23:16:00+05:00,65
2023-03-24T23:24:00+05:00,59
2023-03-24T23:32:00+05:00,66
2023-03-24T23:40:00+05:00,46
2023-03-24T23:48:00+05:00,59
2023-03-24T23:56:00+05:00,53
2023-03-25T00:04:00+05:00,58
2023-03-25T00:12:00+05:00,54
2023-03-25T00:20:00+05:00,59
2023-03-25T00:28:00+05:00,51
2023-03-25T00:36:00+05:00,56
2023-03-25T00:44:00+05:00,51
2023-03-25T00:52:00+05:00,52
2023-03-25T01:00:00+05:00,46
2023-03-25T01:08:00+05:00,46
2023-03-25T01:16:00+05:00,46
2023-03-25T01:24:00+05:00,54
2023-03-25T01:32:00+05:00,45
2023-03-25T01:40:00+05:00,44
2023-03-25T01:48:00+05:00,47
2023-03-25T01:56:00+05:00,44
2023-03-25T02:04:00+05:00,43
2023-03-25T02:12:00+05:00,49
2023-03-25T02:20:00+05:00,50
2023-03-25T02:28:00+05:00,41
2023-03-25T02:36:00+05:00,42
2023-03-25T02:44:00+05:00,41
2023-03-25T02:52:00+05:00,44
2023-03-25T03:00:00+05:00,45
2023-03-25T03:08:00+05:00,45
2023-03-25T03:16:00+05:00,42
2023-03-25T03:24:00+05:00,44
2023-03-25T03:32:00+05:00,45
2023-03-25T03:40:00+05:00,39
2023-03-25T03:48:00+05:00,43
2023-03-25T03:56:00+05:00,46
2023-03-25T04:04:00+05:00,48
2023-03-25T04:12:00+05:00,49
2023-03-25T04:20:00+05:00,41
2023-03-25T04:28:00+05:00,40
2023-03-25T04:36:00+05:00,41
2023-03-25T04:44:00+05:00,41
2023-03-25T04:52:00+05:00,46
2023-03-25T05:00:00+05:00,42
2023-03-25T05:08:00+05:00,41
2023-03-25T05:16:00+05:00,44
2023-03-25T05:24:00+05:00,42
2023-03-25T05:32:00+05:00,39
2023-03-25T05:40:00+05:00,45
2023-03-25T05:48:00+05:00,47
2023-03-25T05:56:00+05:00,54
2023-03-25T06:04:00+05:00,46
2023-03-25T06:12:00+05:00,49
2023-03-25T06:20:00+05:00,54
2023-03-25T06:28:00+05:00,49
2023-03-25T06:36:00+05:00,56
2023-03-25T06:44:00+05:00,50
2023-03-25T06:52:00+05:00,45
2023-03-25T07:00:00+05:00,55
2023-03-25T07:08:00+05:00,49
2023-03-25T07:16:00+05:00,52
2023-03-25T07:24:00+05:00,57
2023-03-25T07:32:00+05:00,58
2023-03-25T07:40:00+05:00,66
2023-03-25T07:48:00+05:00,62
2023-03-25T07:56:00+05:00,55
2023-03-25T08:04:00+05:00,65
2023-03-25T08:12:00+05:00,72
2023-03-25T08:20:00+05:00,64
2023-03-25T08:28:00+05:00,68
2023-03-25T08:36:00+05:00,84
2023-03-25T08:44:00+05:00,85
2023-03-25T08:52:00+05:00,81
2023-03-25T09:00:00+05:00,70
2023-03-25T09:08:00+05:00,82
2023-03-25T09:16:00+05:00,97
2023-03-25T09:24:00+05:00,96
2023-03-25T09:32:00+05:00,78
2023-03-25T09:40:00+05:00,79
2023-03-25T09:48:00+05:00,77
2023-03-25T09:56:00+05:00,91
2023-03-25T10:04:00+05:00,86
2023-03-25T10:12:00+05:00,77
2023-03-25T10:20:00+05:00,81
2023-03-25T10:28:00+05:00,100
2023-03-25T10:36:00+05:00,91
2023-03-25T10:44:00+05:00,86
2023-03-25T10:52:00+05:00,98
2023-03-25T11:00:00+05:00,79
2023-03-25T11:08:00+05:00,85
2023-03-25T11:16:00+05:00,92
2023-03-25T11:24:00+05:00,90
2023-03-25T11:32:00+05:00,88
2023-03-25T11:40:00+05:00,88
2023-03-25T11:48:00+05:00,87
2023-03-25T11:56:00+05:00,81
2023-03-25T12:04:00+05:00,77
2023-03-25T12:12:00+05:00,80
2023-03-25T12:20:00+05:00,82
2023-03-25T12:28:00+05:00,88
2023-03-25T12:36:00+05:00,83
2023-03-25T12:44:00+05:00,76
2023-03-25T12:52:00+05:00,78
2023-03-25T13:00:00+05:00,78
2023-03-25T13:08:00+05:00,74
2023-03-25T13:16:00+05:00,73
2023-03-25T13:24:00+05:00,66
2023-03-25T13:32:00+05:00,88
