Country,Data science: (01/01/2004 - 17/04/2022)
India,100
Rwanda,96
Singapore,87
Zimbabwe,81
Ethiopia,77
Nigeria,73
Botswana,70
St Helena,66
Lesotho,64
Nepal,62
Pakistan,59
Ghana,56
Kenya,54
Malawi,51
Eswatini,50
Bhutan,44
South Africa,43
Hong Kong,42
Uganda,41
Cameroon,41
Antigua & Barbuda,41
United States,40
United Arab Emirates,39
Bangladesh,37
Philippines,36
Mauritius,35
Sri Lanka,34
Namibia,34
Australia,34
Laos,34
Canada,31
Malaysia,30
Somalia,29
Belize,29
Zambia,29
Guyana,28
Liberia,28
Lebanon,28
Trinidad & Tobago,28
Qatar,27
United Kingdom,27
Benin,26
Myanmar (Burma),26
Guam,26
Tunisia,26
Jamaica,26
Ireland,25
Madagascar,25
Afghanistan,25
Armenia,25
Netherlands,24
Switzerland,24
Oman,24
Côte d’Ivoire,24
Senegal,23
Tanzania,23
Mongolia,22
South Korea,22
Barbados,21
Cyprus,21
New Zealand,20
Macao,20
Bahrain,20
Luxembourg,20
North Macedonia,19
Azerbaijan,18
Brunei,17
Israel,16
Thailand,16
Iceland,16
Morocco,16
Fiji,16
Cambodia,15
Portugal,15
Germany,15
Vietnam,15
Bahamas,15
Haiti,14
Albania,14
New Caledonia,14
Norway,14
Greece,13
Jordan,13
Indonesia,13
Sudan,13
Egypt,13
Denmark,13
Kuwait,13
Kosovo,13
Austria,13
Mozambique,12
Palestine,12
Serbia,12
Suriname,12
Angola,11
Kazakhstan,11
Cuba,11
France,11
Brazil,10
Estonia,10
Gabon,10
Saudi Arabia,10
Belgium,10
Puerto Rico,10
Congo - Kinshasa,10
Russia,10
Chile,10
Taiwan,10
Finland,9
Uzbekistan,9
Spain,9
Belarus,9
Italy,9
Sweden,9
China,9
Costa Rica,9
Panama,9
Georgia,9
Uruguay,8
Kyrgyzstan,8
Peru,8
Iran,8
Libya,8
Croatia,8
Ukraine,8
Poland,7
Bosnia & Herzegovina,7
Lithuania,7
Algeria,7
Latvia,7
Bulgaria,7
Honduras,7
Czechia,7
Dominican Republic,7
Slovenia,7
Yemen,7
Hungary,6
Guatemala,6
Colombia,6
Argentina,6
Ecuador,6
Syria,6
Moldova,6
Mexico,6
Paraguay,5
Iraq,5
Bolivia,5
Romania,5
El Salvador,5
Slovakia,4
Turkey,4
Venezuela,3
Japan,2
Eritrea,
Svalbard & Jan Mayen,
British Indian Ocean Territory,
American Samoa,
Gambia,
US Virgin Islands,
Sierra Leone,
South Sudan,
Falkland Islands (Islas Malvinas),
Papua New Guinea,
St Kitts & Nevis,
Liechtenstein,
Niger,
Grenada,
Northern Mariana Islands,
St Vincent & the Grenadines,
Togo,
Comoros,
Burundi,
Maldives,
Bermuda,
Micronesia,
Solomon Islands,
Curaçao,
St Lucia,
Cayman Islands,
Congo - Brazzaville,
Dominica,
Malta,
Greenland,
Seychelles,
Burkina Faso,
Vanuatu,
São Tomé & Príncipe,
Western Sahara,
Gibraltar,
Chad,
Central African Republic,
British Virgin Islands,
Guernsey,
Faroe Islands,
Jersey,
Mali,
Marshall Islands,
Cape Verde,
Palau,
Isle of Man,
Aruba,
Mauritania,
Djibouti,
Turks & Caicos Islands,
Timor-Leste,
Guinea,
Equatorial Guinea,
Guinea-Bissau,
Samoa,
Andorra,
Montenegro,
Åland Islands,
Tonga,
Anguilla,
San Marino,
Tajikistan,
Sint Maarten,
French Polynesia,
Nicaragua,
Réunion,
Monaco,
St Barthélemy,
Turkmenistan,
French Guiana,
Martinique,
Mayotte,
Guadeloupe,
Antarctica,
French Southern Territories,
Caribbean Netherlands,
Bouvet Island,
Cocos (Keeling) Islands,
Cook Islands,
Christmas Island,
Heard & McDonald Islands,
Kiribati,
St Martin,
Montserrat,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
North Korea,
South Georgia & South Sandwich Islands,
St Pierre & Miquelon,
Tokelau,
Tuvalu,
US Outlying Islands,
Vatican City,
Wallis & Futuna,
